id,name,prefecture,city,rent,layout,year,building
64,スカイタワー-8664,福岡県,久留米市,247794,1LDK,45,マンション
65,サンプルホーム-7467,大阪府,大阪市,152458,2LDK,42,一戸建て・その他
66,パークレジデンス-4115,愛知県,名古屋市,190715,3DK,28,アパート
67,パークレジデンス-2110,東京都,千代田区,290278,2LDK,7,アパート
68,サンライズマンション-6813,神奈川県,藤沢市,394761,1LDK,23,マンション
69,スカイタワー-4691,大阪府,大阪市,194386,1LDK,49,一戸建て・その他
70,パークレジデンス-5201,愛知県,名古屋市,350155,4K,27,一戸建て・その他
71,グランハイツ-7897,福岡県,福岡市,264584,5K以上,6,一戸建て・その他
72,グランハイツ-3215,千葉県,千葉市,456323,3DK,10,一戸建て・その他
73,グランハイツ-6714,東京都,港区,297653,4LDK,3,マンション
74,パークレジデンス-9406,福岡県,久留米市,105638,1LDK,40,一戸建て・その他
75,サンライズマンション-7996,神奈川県,川崎市,490447,ワンルーム,12,マンション
76,スカイタワー-2313,福岡県,久留米市,293871,2K,18,マンション
77,サンライズマンション-1398,福岡県,北九州市,149093,2DK,19,アパート
78,パークレジデンス-3145,神奈川県,横浜市,477934,2LDK,3,一戸建て・その他
79,パークレジデンス-7539,神奈川県,鎌倉市,234388,1K,36,マンション
80,パークレジデンス-4063,千葉県,千葉市,459374,5K以上,8,マンション
81,サンプルホーム-5020,愛知県,岡崎市,291619,1K,28,一戸建て・その他
82,グランハイツ-9251,東京都,新宿区,362731,1K,9,一戸建て・その他
83,サンライズマンション-6069,愛知県,岡崎市,282429,3DK,29,アパート
84,サンライズマンション-4960,福岡県,福岡市,213942,2DK,32,マンション
85,サンプルホーム-7757,福岡県,福岡市,51861,1K,30,アパート
86,サンプルホーム-9896,神奈川県,鎌倉市,195595,1DK,15,アパート
87,グランハイツ-4542,東京都,港区,467276,ワンルーム,7,アパート
88,グランハイツ-5761,神奈川県,横浜市,104585,3LDK,39,一戸建て・その他
89,サンプルホーム-6141,埼玉県,さいたま市,343075,1DK,40,アパート
90,サンライズマンション-1652,千葉県,千葉市,338523,ワンルーム,43,アパート
91,パークレジデンス-6326,東京都,千代田区,468603,3LDK,9,アパート
92,サンプルホーム-4280,大阪府,吹田市,458473,1K,16,マンション
93,サンプルホーム-8100,大阪府,堺市,105533,4LDK,29,マンション
94,グランハイツ-8754,福岡県,久留米市,86415,1DK,24,マンション
95,サンライズマンション-6635,福岡県,久留米市,175650,2K,12,マンション
96,サンライズマンション-5627,愛知県,名古屋市,393133,3K,23,一戸建て・その他
97,サンライズマンション-9999,愛知県,豊田市,307794,4LDK,11,一戸建て・その他
98,スカイタワー-1442,神奈川県,川崎市,397063,3K,49,アパート
99,パークレジデンス-4294,大阪府,堺市,274979,ワンルーム,20,一戸建て・その他
100,スカイタワー-9945,神奈川県,川崎市,287899,2DK,1,マンション
101,サンライズマンション-2690,埼玉県,所沢市,94417,1K,17,一戸建て・その他
